CUSIP,fiscal_year,quarter,actual_eps,forecast_eps,cusip,eps_name,transcript_name,confidence_level,filepath,transcript_date,eps_date,eps_value,eps_date_from_mapping,confidence_level_from_mapping,mapping_key,eps_std
G7326810,2021.0,2.0,-0.24,-0.29,G7326810,QUOTIENT LTD,Quotient Limited,high,transcripts_by_company/Quotient_Limited_2021Q2.txt,2021-06-01,2021-06-01,-1.18,2021-06-01,high,G7326810_2021_2,0.0277777777777777
15352710,2012.0,2.0,0.47,0.39,15352710,CENTRAL GARDEN  PET CO,Central Garden &amp; Pet Company,high,transcripts_by_company/Central_Garden_and_Pet_Company_2012Q2.txt,2012-05-02,2012-05-02,0.45,2012-05-02,high,15352710_2012_2,0.0344444444444444
20337X10,2017.0,4.0,0.47,0.75,20337X10,COMMSCOPE HOLDING COMPANY INC,"CommScope Holding Company, Inc.",high,transcripts_by_company/CommScope_Holding_Company_Inc_2017Q4.txt,2017-11-01,2017-11-01,0.55,2017-11-01,high,20337X10_2017_4,0.02
12662P10,2017.0,3.0,0.37,0.17,12662P10,CVR ENERGY INC,"CVR Energy, Inc.",high,transcripts_by_company/CVR_Energy_Inc_2017Q3.txt,2017-07-27,2017-07-27,-0.12,2017-07-27,high,12662P10_2017_3,0.0533333333333333
87157D10,2016.0,3.0,0.96,1.8,87157D10,SYNAPTICS INC,Synaptics Incorporated,high,transcripts_by_company/Synaptics_Incorporated_2016Q3.txt,2016-08-08,2016-10-27,0.96,2016-10-27,high,87157D10_2016_3,0.2011111111111111
23337740,2011.0,1.0,0.42,0.36,23337740,DXP ENTERPRISES INC,DXP Enterprises Inc.,high,transcripts_by_company/DXP_Enterprises_Inc_2011Q1.txt,2011-03-16,2011-03-16,1.32,2011-03-16,high,23337740_2011_1,0.0133333333333333
74432010,2016.0,4.0,2.46,2.31,74432010,PRUDENTIAL FINANCIAL INC,"Prudential Financial, Inc.",high,transcripts_by_company/Prudential_Financial_Inc_2016Q4.txt,2016-12-15,2017-02-08,9.13,2017-02-08,high,74432010_2016_4,0.0777777777777777
48282T10,2007.0,4.0,0.54,0.45,48282T10,KADANT INC,Kadant,high,transcripts_by_company/Kadant_2007Q4.txt,2007-10-25,2007-10-24,0.49,2007-10-24,high,48282T10_2007_4,0.0177777777777777
58468P20,2011.0,4.0,-0.21,-0.28,58468P20,MEDICINOVA INC,"MediciNova, Inc.",high,transcripts_by_company/MediciNova_Inc_2011Q4.txt,2011-11-15,2011-11-15,-0.25,2011-11-15,high,58468P20_2011_4,0.0463636363636363
90921430,2023.0,3.0,-0.33,-0.27,90921430,UNISYS CORP,Unisys Corporation,high,transcripts_by_company/Unisys_Corporation_2023Q3.txt,2022-08-04,2022-08-03,0.24,2022-08-03,high,90921430_2023_3,0.19125
78388J10,2007.0,4.0,-0.27,-0.08,78388J10,SBA COMMUNICATIONS CORP,SBA Communications,high,transcripts_by_company/SBA_Communications_2007Q4.txt,2007-11-02,2007-11-01,-0.17,2007-11-01,high,78388J10_2007_4,0.05
15102010,2010.0,4.0,0.73,0.7,15102010,CELGENE CORP,Celgene Corporation,high,transcripts_by_company/Celgene_Corporation_2010Q4.txt,2010-11-16,2011-01-27,2.8,2011-01-27,high,15102010_2010_4,0.0277777777777777
26860310,2018.0,3.0,0.19,0.18,26860310,EL POLLO LOCO HOLDINGS INC,"El Pollo Loco Holdings, Inc.",high,transcripts_by_company/El_Pollo_Loco_Holdings_Inc_2018Q3.txt,2018-08-02,2018-08-02,0.22,2018-08-02,high,26860310_2018_3,0.0075
14167R10,2021.0,4.0,-0.01,-0.11,14167R10,CARECLOUD INC,"CareCloud, Inc.",high,transcripts_by_company/CareCloud_Inc_2021Q4.txt,2021-11-04,2021-11-04,-0.15,2021-11-04,high,14167R10_2021_4,0.036
09064M10,2009.0,1.0,-0.49,-0.45,09064M10,BIODEL INC,"Biodel, Inc.",high,transcripts_by_company/Biodel_Inc_2009Q1.txt,2009-01-15,2009-02-05,-0.42,2009-02-05,high,09064M10_2009_1,0.0325
41043F20,2022.0,1.0,-0.15,-0.09,41043F20,HANGER INC,"Hanger, Inc.",high,transcripts_by_company/Hanger_Inc_2022Q1.txt,2022-03-01,2022-05-04,-0.15,2022-05-04,high,41043F20_2022_1,0.04
45169U10,2014.0,2.0,0.48,0.47,45169U10,IGATE CAPITAL CORPORATION,iGATE Corporation,high,transcripts_by_company/iGATE_Corporation_2014Q2.txt,2014-04-10,2014-04-10,0.45,2014-04-10,high,45169U10_2014_2,0.0322222222222222
89267P10,2006.0,3.0,0.17,0.14,89267P10,TRADESTATION GROUP INC,"TradeStation Group, Inc.",high,transcripts_by_company/TradeStation_Group_Inc_2006Q3.txt,2006-07-20,2006-07-20,0.17,2006-07-20,high,89267P10_2006_3,0.0055555555555555
91034010,2018.0,1.0,1.0,0.85,91034010,UNITED FIRE GROUP INC,"United Fire Group, Inc.",high,transcripts_by_company/United_Fire_Group_Inc_2018Q1.txt,2018-02-14,2018-02-14,0.93,2018-02-14,high,91034010_2018_1,0.1211111111111111
20717E10,2021.0,2.0,0.21,-0.07,20717E10,CONFORMIS INC,"Conformis, Inc.",high,transcripts_by_company/Conformis_Inc_2021Q2.txt,2021-05-05,2021-05-05,-0.09,2021-05-05,high,20717E10_2021_2,0.0322222222222222
33645310,2009.0,1.0,-1.19,0.11,33645310,FIRST STATE BANCORPORATION,First State Bancorporation,high,transcripts_by_company/First_State_Bancorporation_2009Q1.txt,2009-02-02,2009-02-02,-0.86,2009-02-02,high,33645310_2009_1,0.1488888888888889
85430520,2009.0,1.0,-0.22,0.06,85430520,STANLEY FURNITURE CO,"Stanley Furniture Company, Inc.",high,transcripts_by_company/Stanley_Furniture_Company_Inc_2009Q1.txt,2009-01-29,2009-01-28,-0.1,2009-01-28,high,85430520_2009_1,0.026
65410610,2012.0,3.0,1.23,1.56,65410610,NIKE INC,"NIKE, Inc.",high,transcripts_by_company/NIKE_Inc_2012Q3.txt,2012-09-27,2012-09-27,1.23,2012-09-27,high,65410610_2012_3,0.1311111111111111
15912K10,2022.0,2.0,0.38,0.44,15912K10,CHANGE HEALTHCARE INC,Change Healthcare Inc.,high,transcripts_by_company/Change_Healthcare_Inc_2022Q2.txt,2022-05-26,2022-05-25,1.53,2022-05-25,high,15912K10_2022_2,0.0511111111111111
46520M20,2018.0,4.0,0.1,0.09,46520M20,ISSUER DIRECT CORP,Issuer Direct Corporation,high,transcripts_by_company/Issuer_Direct_Corporation_2018Q4.txt,2018-11-01,2018-11-01,0.11,2018-11-01,high,46520M20_2018_4,
77615310,2022.0,1.0,-0.34,-0.27,77615310,ROMEO POWER INC,"Romeo Power, Inc.",high,transcripts_by_company/Romeo_Power_Inc_2022Q1.txt,2022-03-01,2022-03-01,0.07,2022-03-01,high,77615310_2022_1,0.08
19259P30,2006.0,4.0,0.18,0.16,19259P30,COINSTAR INC,Coinstar Inc.,high,transcripts_by_company/Coinstar_Inc_2006Q4.txt,2006-11-02,2006-11-02,0.19,2006-11-02,high,19259P30_2006_4,0.02
57886P10,2017.0,2.0,-0.15,-0.17,57886P10,MAZOR ROBOTICS LTD,Mazor Robotics Ltd.,high,transcripts_by_company/Mazor_Robotics_Ltd_2017Q2.txt,2017-05-10,2017-05-10,-0.22,2017-05-10,high,57886P10_2017_2,0.0566666666666666
26138E10,2010.0,3.0,0.6,0.67,26138E10,DR PEPPER SNAPPLE GROUP INC,"Dr Pepper Snapple Group, Inc.",high,transcripts_by_company/Dr_Pepper_Snapple_Group_Inc_2010Q3.txt,2010-07-29,2010-07-29,0.74,2010-07-29,high,26138E10_2010_3,0.0225
67104410,2013.0,2.0,1.02,1.1,67104410,OSI SYSTEMS INC,"OSI Systems, Inc.",high,transcripts_by_company/OSI_Systems_Inc_2013Q2.txt,2013-04-24,2013-04-24,0.74,2013-04-24,high,67104410_2013_2,0.02
55277J10,2011.0,2.0,0.1,0.12,55277J10,MF GLOBAL HOLDINGS LTD,MF Global Holdings Ltd.,high,transcripts_by_company/MF_Global_Holdings_Ltd_2011Q2.txt,2011-06-09,2011-07-28,0.1,2011-07-28,high,55277J10_2011_2,0.0311111111111111
46612J10,2005.0,2.0,-0.02,0.0,46612J10,JDS UNIPHASE CORP,JDS Uniphase Corporation,high,transcripts_by_company/JDS_Uniphase_Corporation_2005Q2.txt,2005-04-27,2005-04-27,-0.02,2005-04-27,high,46612J10_2005_2,0.008
24344T10,2019.0,1.0,-1.25,-0.75,24344T10,DECIPHERA PHARMACEUTICALS INC,"Deciphera Pharmaceuticals, Inc.",high,transcripts_by_company/Deciphera_Pharmaceuticals_Inc_2019Q1.txt,2019-01-08,2019-03-14,-2.82,2019-03-14,high,24344T10_2019_1,0.0922222222222222
54928210,2009.0,2.0,-0.02,0.0,54928210,LUBY'S INC.,"Luby's, Inc.",high,transcripts_by_company/Lubys_Inc_2009Q2.txt,2009-06-10,2009-06-10,-0.02,2009-06-10,high,54928210_2009_2,
25470M10,2009.0,2.0,0.14,0.59,25470M10,DISH NETWORK CORP,DISH Network Corporation,high,transcripts_by_company/DISH_Network_Corporation_2009Q2.txt,2009-05-11,2009-05-11,0.7,2009-05-11,high,25470M10_2009_2,0.0955555555555555
50207910,2012.0,2.0,0.43,0.46,50207910,LMI AEROSPACE INC,"LMI Aerospace, Inc.",high,transcripts_by_company/LMI_Aerospace_Inc_2012Q2.txt,2012-05-16,2012-05-07,0.41,2012-05-07,high,50207910_2012_2,0.0255555555555555
89214A10,2006.0,3.0,0.2,0.12,89214A10,TOWN SPORTS INTERNATIONAL HOLDIN,"Town Sports International Holdings, Inc.",high,transcripts_by_company/Town_Sports_International_Holdings_Inc_2006Q3.txt,2006-09-27,2006-11-03,0.2,2006-11-03,high,89214A10_2006_3,0.0275
80360710,2013.0,2.0,-0.6,-0.39,80360710,SAREPTA THERAPEUTICS INC,"Sarepta Therapeutics, Inc.",high,transcripts_by_company/Sarepta_Therapeutics_Inc_2013Q2.txt,2013-04-15,2013-05-09,-1.32,2013-05-09,high,80360710_2013_2,0.1733333333333333
37153210,2012.0,2.0,0.98,0.86,37153210,GENESCO INC,Genesco,high,transcripts_by_company/Genesco_2012Q2.txt,2012-06-19,2012-08-29,0.5,2012-08-29,high,37153210_2012_2,0.0588888888888888
25253X20,2022.0,4.0,-0.14,-0.24,25253X20,DIAMEDICA THERAPEUTICS INC,DiaMedica Therapeutics Inc.,high,transcripts_by_company/DiaMedica_Therapeutics_Inc_2022Q4.txt,2021-11-11,2021-11-10,-0.18,2021-11-10,high,25253X20_2022_4,0.039090909090909
12007610,2020.0,3.0,-0.82,-0.01,12007610,BUILD-A-BEAR WORKSHOP INC,"Build-A-Bear Workshop, Inc.",high,transcripts_by_company/Build-A-Bear_Workshop_Inc_2020Q3.txt,2020-09-01,2020-09-01,-0.82,2020-09-01,high,12007610_2020_3,0.2716666666666666
22830910,2012.0,2.0,0.09,0.06,22830910,CROWN CRAFTS INC,Crown Crafts Inc,high,transcripts_by_company/Crown_Crafts_Inc_2012Q2.txt,2012-06-20,2012-06-20,0.52,2012-06-20,high,22830910_2012_2,
65490220,2006.0,2.0,0.29,0.25,65490220,NOKIA CORP,Nokia,high,transcripts_by_company/Nokia_2006Q2.txt,2006-04-20,2006-04-20,0.3,2006-04-20,high,65490220_2006_2,0.0175
69911G10,2003.0,3.0,-0.05,-0.07,69911G10,PARADYNE NETWORKS INC.,Paradyne,high,transcripts_by_company/Paradyne_2003Q3.txt,2003-07-17,2003-07-16,-0.08,2003-07-16,high,69911G10_2003_3,0.0133333333333333
26878010,2004.0,2.0,,,26878010,E.ON AG,ENH,high,transcripts_by_company/ENH_2004Q2.txt,2004-04-27,2004-05-15,,2004-05-15,high,26878010_2004_2,
66580910,2023.0,1.0,0.1,0.23,66580910,NORTHERN TECHNOLOGIES INTERNATIO,Northern Technologies International Corporation,high,transcripts_by_company/Northern_Technologies_International_Corporation_2023Q1.txt,2023-01-12,2023-01-12,0.06,2023-01-12,high,66580910_2023_1,
27579R10,2018.0,3.0,1.17,1.14,27579R10,"EAST WEST BANCORP, INC.","East West Bancorp, Inc.",high,transcripts_by_company/East_West_Bancorp_Inc_2018Q3.txt,2018-09-13,2018-10-18,1.17,2018-10-18,high,27579R10_2018_3,0.0275
22410J10,2009.0,1.0,0.81,0.76,22410J10,CRACKER BARREL OLD COUNTRY STORE,"Cracker Barrel Old Country Store, Inc.",high,transcripts_by_company/Cracker_Barrel_Old_Country_Store_Inc_2009Q1.txt,2009-01-13,2009-02-24,0.81,2009-02-24,high,22410J10_2009_1,0.04
02319V10,2017.0,2.0,0.04,0.01,02319V10,AMBEV SA,Ambev S.A.,high,transcripts_by_company/Ambev_SA_2017Q2.txt,2017-05-04,2017-05-04,0.045,2017-05-04,high,02319V10_2017_2,0.0
20601610,2011.0,1.0,-0.09,0.0,20601610,CONCEPTUS INC,Conceptus,high,transcripts_by_company/Conceptus_2011Q1.txt,2011-02-24,2011-02-24,0.08,2011-02-24,high,20601610_2011_1,0.0611111111111111
85931710,2005.0,1.0,0.4,0.43,85931710,STERLING FINANCIAL CORP (PA),Sterling Financial Corporation,high,transcripts_by_company/Sterling_Financial_Corporation_2005Q1.txt,2005-01-31,2005-01-25,1.5,2005-01-25,high,85931710_2005_1,0.0266666666666666
00817Y10,2014.0,1.0,1.98,1.58,00817Y10,AETNA INC,Aetna Inc.,high,transcripts_by_company/Aetna_Inc_2014Q1.txt,2014-02-06,2014-02-06,5.85,2014-02-06,high,00817Y10_2014_1,0.1
92846910,2006.0,3.0,0.62,0.67,92846910,VITAL SIGNS INC,Vital Signs,high,transcripts_by_company/Vital_Signs_2006Q3.txt,2006-08-08,2006-08-08,0.6,2006-08-08,high,92846910_2006_3,0.0188888888888888
46268410,2010.0,2.0,,,46268410,IRIDEX CORP,IRIDEX Corporation,high,transcripts_by_company/IRIDEX_Corporation_2010Q2.txt,2010-05-06,2010-05-06,,2010-05-06,high,46268410_2010_2,
13191010,2007.0,2.0,-0.03,-0.01,13191010,CAMBRIDGE HEART INC,"Cambridge Heart, Inc.",high,transcripts_by_company/Cambridge_Heart_Inc_2007Q2.txt,2007-05-07,2007-05-07,-0.05,2007-05-07,high,13191010_2007_2,0.01
02483510,2008.0,2.0,-0.03,0.02,02483510,AMERICAN CAMPUS COMMUNITIES INC,"American Campus Communities, Inc.",high,transcripts_by_company/American_Campus_Communities_Inc_2008Q2.txt,2008-04-30,2008-04-29,0.18,2008-04-29,high,02483510_2008_2,
69328210,2022.0,3.0,0.2,0.09,69328210,PDF SOLUTIONS INC,"PDF Solutions, Inc.",high,transcripts_by_company/PDF_Solutions_Inc_2022Q3.txt,2022-08-11,2022-08-11,0.11,2022-08-11,high,69328210_2022_3,0.0166666666666666
G7368R10,2007.0,3.0,0.5,0.41,G7368R10,RAM HOLDINGS LTD,RAM Holdings Ltd.,high,transcripts_by_company/RAM_Holdings_Ltd_2007Q3.txt,2007-08-06,2007-08-06,0.33,2007-08-06,high,G7368R10_2007_3,0.01
Y2711Y10,2003.0,3.0,,,Y2711Y10,GIGAMEDIA LIMITED,GigaMedia Limited,high,transcripts_by_company/GigaMedia_Limited_2003Q3.txt,2003-08-14,2003-08-15,,2003-08-15,high,Y2711Y10_2003_3,
04635310,2023.0,2.0,1.08,0.96,04635310,ASTRAZENECA PLC,AstraZeneca PLC,high,transcripts_by_company/AstraZeneca_PLC_2023Q2.txt,2023-06-05,2023-07-28,1.08,2023-07-28,high,04635310_2023_2,0.1616666666666666
15117K10,2023.0,1.0,-0.58,-0.72,15117K10,CELLECTIS SA,Cellectis S.A.,high,transcripts_by_company/Cellectis_SA_2023Q1.txt,2023-03-14,2023-03-08,-2.33,2023-03-08,high,15117K10_2023_1,0.1977777777777777
42906010,2006.0,4.0,-0.12,,42906010,HICKORY TECH CORP,HictoryTech Corp.,high,transcripts_by_company/HictoryTech_Corp_2006Q4.txt,2006-11-07,2006-11-06,0.11,2006-11-06,high,42906010_2006_4,
53277410,2004.0,2.0,0.31,0.25,53277410,LIN TELEVISION,Tandberg Television,high,transcripts_by_company/Tandberg_Television_2004Q2.txt,2004-04-28,2004-04-29,0.0,2004-04-29,high,53277410_2004_2,0.02
75049110,2021.0,2.0,0.27,0.16,75049110,RADNET INC,"RadNet, Inc.",high,transcripts_by_company/RadNet_Inc_2021Q2.txt,2021-05-10,2021-05-10,0.04,2021-05-10,high,75049110_2021_2,0.0222222222222222
23332B10,2012.0,4.0,0.06,0.04,23332B10,DSP GROUP INC,DSP Group Inc,high,transcripts_by_company/DSP_Group_Inc_2012Q4.txt,2012-11-05,2012-11-05,0.01,2012-11-05,high,23332B10_2012_4,0.02
58502B10,2011.0,4.0,1.19,1.23,58502B10,MEDNAX INC,"MEDNAX, Inc.",high,transcripts_by_company/MEDNAX_Inc_2011Q4.txt,2011-11-01,2011-11-01,1.19,2011-11-01,high,58502B10_2011_4,0.02
90323610,2007.0,3.0,0.73,0.66,90323610,URS CORPORATION,URS Corporation,high,transcripts_by_company/URS_Corporation_2007Q3.txt,2007-09-20,2007-11-07,0.73,2007-11-07,high,90323610_2007_3,0.0175
05351W10,2016.0,4.0,0.67,0.66,05351W10,AVANGRID INC,"AVANGRID, Inc.",high,transcripts_by_company/AVANGRID_Inc_2016Q4.txt,2016-10-25,2016-10-25,0.35,2016-10-25,high,05351W10_2016_4,0.145
89626310,2006.0,3.0,0.16,0.01,89626310,TRIMERIS INC,"Trimeris, Inc.",high,transcripts_by_company/Trimeris_Inc_2006Q3.txt,2006-08-08,2006-08-08,-0.02,2006-08-08,high,89626310_2006_3,0.02625
25746U10,2021.0,4.0,0.9,0.88,25746U10,DOMINION ENERGY INC,"Dominion Energy, Inc.",high,transcripts_by_company/Dominion_Energy_Inc_2021Q4.txt,2020-11-05,2020-11-05,1.08,2020-11-05,high,25746U10_2021_4,0.1111111111111111
92536C10,2021.0,4.0,-0.08,-0.07,92536C10,VERU INC,Veru Inc.,high,transcripts_by_company/Veru_Inc_2021Q4.txt,2020-12-09,2020-12-09,-0.07,2020-12-09,high,92536C10_2021_4,0.0466666666666666
96123810,2003.0,1.0,-0.31,0.02,96123810,"WESTPOINT STEVENS, INC.",WestPoint Stevens,high,transcripts_by_company/WestPoint_Stevens_2003Q1.txt,2003-02-11,2003-02-11,-0.02,2003-02-11,high,96123810_2003_1,
20479530,2005.0,4.0,-0.06,0.06,20479530,COMPUDYNE CORP,CompuDyne,high,transcripts_by_company/CompuDyne_2005Q4.txt,2005-11-09,2005-11-09,-0.65,2005-11-09,high,20479530_2005_4,0.16
27727610,2021.0,4.0,1.75,0.69,27727610,EASTGROUP PROPERTIES INC,"EastGroup Properties, Inc.",high,transcripts_by_company/EastGroup_Properties_Inc_2021Q4.txt,2021-10-27,2021-10-26,0.76,2021-10-26,high,27727610_2021_4,0.0244444444444444
04313610,2005.0,4.0,0.31,0.3,04313610,ARTHROCARE CORPORATION,ArthroCare,high,transcripts_by_company/ArthroCare_2005Q4.txt,2005-11-01,2005-11-01,0.27,2005-11-01,high,04313610_2005_4,0.0111111111111111
67066G10,2008.0,2.0,0.36,0.36,67066G10,NVIDIA CORP,NVIDIA Corporation,high,transcripts_by_company/NVIDIA_Corporation_2008Q2.txt,2008-05-08,2008-05-08,0.36,2008-05-08,high,67066G10_2008_2,0.0188888888888888
