filepath,cusip,ticker,company_name,eps_actual,eps_forecast
/Users/vazea/Desktop/NNW/transcripts_by_company/PALO_ALTO_NETWORKS_INC_2023Q3.txt,69743510,PANW,PALO ALTO NETWORKS INC,1.1,0.93
/Users/vazea/Desktop/NNW/transcripts_by_company/SCHOLASTIC_CORP_2012Q1.txt,80706610,SCHL,SCHOLASTIC CORP,-0.77,-1.03
/Users/vazea/Desktop/NNW/transcripts_by_company/ARIAD_PHARMACEUTICALS_INC_2011Q3.txt,04033A10,ARIA,ARIAD PHARMACEUTICALS INC,0.1,0.0
/Users/vazea/Desktop/NNW/transcripts_by_company/LDR_HOLDING_CORP_2015Q2.txt,50185U10,LDRH,LDR HOLDING CORP,-0.22,-0.18
/Users/vazea/Desktop/NNW/transcripts_by_company/NAVIGANT_CONSULTING_INC_2011Q4.txt,63935N10,NCI,NAVIGANT CONSULTING INC,0.84,0.8
/Users/vazea/Desktop/NNW/transcripts_by_company/GREAT_WOLF_RESORTS_INC_2009Q4.txt,39152310,WOLF,GREAT WOLF RESORTS INC,-0.56,-0.52
/Users/vazea/Desktop/NNW/transcripts_by_company/FINISAR_CORPORATION_2003Q2.txt,31787A10,FNSR,FINISAR CORPORATION,-0.09,-0.08
/Users/vazea/Desktop/NNW/transcripts_by_company/FLEETCOR_TECHNOLOGIES_INC_2017Q4.txt,33904110,FLT,FLEETCOR TECHNOLOGIES INC,8.54,8.43
/Users/vazea/Desktop/NNW/transcripts_by_company/AVEANNA_HEALTHCARE_HOLDINGS_INC_2022Q4.txt,05356F10,AVAH,AVEANNA HEALTHCARE HOLDINGS INC,0.0,0.02
/Users/vazea/Desktop/NNW/transcripts_by_company/QAD_INC_2015Q2.txt,74727D30,QADA,QAD INC,0.11,0.12
/Users/vazea/Desktop/NNW/transcripts_by_company/NPS_PHARMACEUTICALS_INCORPORATED_2008Q4.txt,62936P10,NPSP,NPS PHARMACEUTICALS INCORPORATED,-0.67,-0.57
/Users/vazea/Desktop/NNW/transcripts_by_company/SOUNDTHINKING_INC_2020Q1.txt,82536T10,SSTI,SOUNDTHINKING INC,0.0,0.03
/Users/vazea/Desktop/NNW/transcripts_by_company/CELESTICA_INC_2006Q2.txt,15101Q10,CLS,CELESTICA INC,0.13,0.12
/Users/vazea/Desktop/NNW/transcripts_by_company/UNITIL_CORP_2018Q2.txt,91325910,UTL,UNITIL CORP,0.24,0.24
/Users/vazea/Desktop/NNW/transcripts_by_company/BIOXCEL_THERAPEUTICS_INC_2022Q3.txt,09075P10,BTAI,BIOXCEL THERAPEUTICS INC,-1.492,-1.4
/Users/vazea/Desktop/NNW/transcripts_by_company/PARTY_CITY_HOLDCO_INC_2022Q3.txt,70214910,PRTY,PARTY CITY HOLDCO INC,-1.39,-0.1
/Users/vazea/Desktop/NNW/transcripts_by_company/PRAXAIR_INC_2011Q4.txt,74005P10,PX,PRAXAIR INC,5.43,5.44
/Users/vazea/Desktop/NNW/transcripts_by_company/REPSOL_YPF_SA_2010Q1.txt,76026T20,REP,REPSOL YPF SA,0.76,0.58
/Users/vazea/Desktop/NNW/transcripts_by_company/MIPS_TECHNOLOGIES_INC_2006Q3.txt,60456710,MIPS,MIPS TECHNOLOGIES INC,0.1,0.09
/Users/vazea/Desktop/NNW/transcripts_by_company/WASTE_MANAGEMENT_INC_2009Q3.txt,94106L10,WM,WASTE MANAGEMENT INC,0.54,0.53
/Users/vazea/Desktop/NNW/transcripts_by_company/HESS_CORP_2016Q4.txt,42809H10,HES,HESS CORP,-4.94,-5.02
/Users/vazea/Desktop/NNW/transcripts_by_company/ZUMIEZ_INC_2023Q1.txt,98981710,ZUMZ,ZUMIEZ INC,-0.02,0.07
/Users/vazea/Desktop/NNW/transcripts_by_company/TORONTODOMINION_BANK_2006Q4.txt,8911605X,TD,TORONTO-DOMINION BANK,4.16,1.05
/Users/vazea/Desktop/NNW/transcripts_by_company/AIR_PRODUCTS_AND_CHEMICALS_INC_2005Q3.txt,00915810,APD,AIR PRODUCTS AND CHEMICALS INC,0.82,0.81
/Users/vazea/Desktop/NNW/transcripts_by_company/LIGHTINTHEBOX_HOLDING_CO_LTD_2014Q4.txt,53225G10,LITB,LIGHTINTHEBOX HOLDING CO LTD,-0.39,-0.5
/Users/vazea/Desktop/NNW/transcripts_by_company/ALLION_HEALTHCARE_INC_2007Q4.txt,01961510,ALLI,ALLION HEALTHCARE INC,0.21,0.22
/Users/vazea/Desktop/NNW/transcripts_by_company/ONESOURCE_INFO_SVCS_2003Q2.txt,68272J10,ONES,ONESOURCE INFO. SVCS.,0.06,0.05
/Users/vazea/Desktop/NNW/transcripts_by_company/TAKETWO_INTERACTIVE_SOFTWARE_IN_2004Q4.txt,87405410,TTWO,TAKE-TWO INTERACTIVE SOFTWARE IN,1.41,1.61
/Users/vazea/Desktop/NNW/transcripts_by_company/ENERPLUS_RESOURCES_FUND_2009Q2.txt,29274D6X,ERF,ENERPLUS RESOURCES FUND,-0.02,0.01
/Users/vazea/Desktop/NNW/transcripts_by_company/CHEFS_WAREHOUSE_INC_2015Q2.txt,16308610,CHEF,CHEFS' WAREHOUSE INC,0.21,0.21
/Users/vazea/Desktop/NNW/transcripts_by_company/RUBY_TUESDAY_INC_2012Q3.txt,78118210,RT,RUBY TUESDAY INC,0.07,0.15
/Users/vazea/Desktop/NNW/transcripts_by_company/TELADOC_HEALTH_INC_2019Q3.txt,87918A10,TDOC,TELADOC HEALTH INC,-0.28,-0.4
/Users/vazea/Desktop/NNW/transcripts_by_company/COMPUTER_TASK_GROUP_INC_2021Q4.txt,20547710,CTG,COMPUTER TASK GROUP INC,0.64,0.56
/Users/vazea/Desktop/NNW/transcripts_by_company/MYLAN_INC_2011Q2.txt,62853010,MYL,MYLAN INC,0.52,0.45
/Users/vazea/Desktop/NNW/transcripts_by_company/INTUITIVE_SURGICAL_INC_2009Q2.txt,46120E60,ISRG,INTUITIVE SURGICAL INC,1.62,1.28
/Users/vazea/Desktop/NNW/transcripts_by_company/PENN_ENTERTAINMENT_INC_2004Q2.txt,70756910,PENN,PENN ENTERTAINMENT INC,0.6,0.53
/Users/vazea/Desktop/NNW/transcripts_by_company/PENNYMAC_FINANCIAL_SERVICES_INC_2023Q3.txt,70932M10,PFSI,PENNYMAC FINANCIAL SERVICES INC,1.77,1.65
/Users/vazea/Desktop/NNW/transcripts_by_company/CATHAY_GENERAL_BANCORP_2017Q2.txt,14915010,CATY,CATHAY GENERAL BANCORP,0.64,0.62
/Users/vazea/Desktop/NNW/transcripts_by_company/RAYONIER_INC_2010Q2.txt,75490710,RYN,RAYONIER INC,0.48,0.36
/Users/vazea/Desktop/NNW/transcripts_by_company/AMERICAN_SUPERCONDUCTOR_CORP_2008Q3.txt,03011110,AMSC,AMERICAN SUPERCONDUCTOR CORP,-0.18,-0.21
/Users/vazea/Desktop/NNW/transcripts_by_company/ZYGO_CORP_2004Q4.txt,98985510,ZIGO,ZYGO CORP,0.23,0.15
/Users/vazea/Desktop/NNW/transcripts_by_company/ALIGN_TECHNOLOGY_INC_2007Q3.txt,01625510,ALGN,ALIGN TECHNOLOGY INC,0.13,0.09
/Users/vazea/Desktop/NNW/transcripts_by_company/CHEVRON_CORP_2010Q3.txt,16676410,CVX,CHEVRON CORP,1.87,2.15
/Users/vazea/Desktop/NNW/transcripts_by_company/HARVARD_BIOSCIENCE_INC_2018Q4.txt,41690610,HBIO,HARVARD BIOSCIENCE INC,0.2,0.2
/Users/vazea/Desktop/NNW/transcripts_by_company/EXAMWORKS_GROUP_INC_2014Q1.txt,30066A10,EXAM,EXAMWORKS GROUP INC,-0.01,-0.03
/Users/vazea/Desktop/NNW/transcripts_by_company/UNIT_CORPORATION_2011Q4.txt,90921810,UNT,UNIT CORPORATION,4.08,4.09
/Users/vazea/Desktop/NNW/transcripts_by_company/HUNTSMAN_CORP_2013Q4.txt,44701110,HUN,HUNTSMAN CORP,1.61,1.5
/Users/vazea/Desktop/NNW/transcripts_by_company/OFFICE_DEPOT_INC_2010Q2.txt,67622010,ODP,OFFICE DEPOT INC,-0.07,-0.16
/Users/vazea/Desktop/NNW/transcripts_by_company/CALERES_INC_2016Q4.txt,12950010,CAL,CALERES INC,2.0,1.98
/Users/vazea/Desktop/NNW/transcripts_by_company/COOTEK_CAYMAN_INC_2021Q4.txt,21718L10,CTK,COOTEK (CAYMAN) INC,-0.003,-0.22
/Users/vazea/Desktop/NNW/transcripts_by_company/CERAGON_NETWORKS_LTD_2021Q2.txt,M2201310,CRNT,CERAGON NETWORKS LTD,-0.01,-0.04
/Users/vazea/Desktop/NNW/transcripts_by_company/SOUTHERN_CO_2002Q4.txt,84258710,SO,SOUTHERN CO,1.86,1.78
/Users/vazea/Desktop/NNW/transcripts_by_company/UNITED_COMMUNITY_BANKS_INC_2015Q3.txt,90984P30,UCBI,UNITED COMMUNITY BANKS INC,0.33,0.33
/Users/vazea/Desktop/NNW/transcripts_by_company/FRANKLIN_ELECTRIC_CO_INC_2021Q3.txt,35351410,FELE,FRANKLIN ELECTRIC CO INC,0.98,0.92
/Users/vazea/Desktop/NNW/transcripts_by_company/TIVO_INC_2016Q4.txt,88870610,TIVO,TIVO INC,0.29,0.25
/Users/vazea/Desktop/NNW/transcripts_by_company/GREAT_LAKES_DREDGE_DOCK_CORP_2022Q4.txt,39060710,GLDD,GREAT LAKES DREDGE & DOCK CORP,-0.52,-0.2
/Users/vazea/Desktop/NNW/transcripts_by_company/CLICKSOFTWARE_TECHNOLOGIES_2013Q1.txt,M2508210,CKSW,CLICKSOFTWARE TECHNOLOGIES,0.02,0.04
/Users/vazea/Desktop/NNW/transcripts_by_company/GARMIN_LTD_2016Q2.txt,H2906T10,GRMN,GARMIN LTD,0.87,0.69
/Users/vazea/Desktop/NNW/transcripts_by_company/CENTRAL_PACIFIC_FINANCIAL_CORP_2022Q2.txt,15476040,CPF,CENTRAL PACIFIC FINANCIAL CORP,0.54,0.54
/Users/vazea/Desktop/NNW/transcripts_by_company/SOUTHWEST_WATER_COMPANY_2006Q1.txt,84533110,SWWC,SOUTHWEST WATER COMPANY,0.03,0.04
/Users/vazea/Desktop/NNW/transcripts_by_company/HOWMET_AEROSPACE_INC_2021Q4.txt,44320110,HWM,HOWMET AEROSPACE INC,1.01,1.0
/Users/vazea/Desktop/NNW/transcripts_by_company/EMERGENT_BIOSOLUTIONS_INC_2009Q2.txt,29089Q10,EBS,EMERGENT BIOSOLUTIONS INC,0.48,0.29
/Users/vazea/Desktop/NNW/transcripts_by_company/RAPID7_INC_2020Q2.txt,75342210,RPD,RAPID7 INC,0.05,-0.01
/Users/vazea/Desktop/NNW/transcripts_by_company/MARINE_PRODUCTS_CORP_2019Q4.txt,56842710,MPX,MARINE PRODUCTS CORP,0.83,0.84
/Users/vazea/Desktop/NNW/transcripts_by_company/ENTERGY_CORP_2022Q4.txt,29364G10,ETR,ENTERGY CORP,6.42,6.4
/Users/vazea/Desktop/NNW/transcripts_by_company/EXXON_MOBIL_CORP_2013Q2.txt,30231G10,XOM,EXXON MOBIL CORP,1.55,1.9
/Users/vazea/Desktop/NNW/transcripts_by_company/TEVA_PHARMACEUTICAL_INDUSTRIES_L_2010Q4.txt,88162420,TEVA,TEVA PHARMACEUTICAL INDUSTRIES L,4.54,4.57
/Users/vazea/Desktop/NNW/transcripts_by_company/NEOGEN_CORP_2013Q3.txt,64049110,NEOG,NEOGEN CORP,0.27,0.28
/Users/vazea/Desktop/NNW/transcripts_by_company/SOUTHWEST_GAS_HOLDINGS_INC_2022Q1.txt,84489510,SWX,SOUTHWEST GAS HOLDINGS INC,1.74,2.18
/Users/vazea/Desktop/NNW/transcripts_by_company/AQUA_AMERICA_INC_2008Q1.txt,03836W10,WTR,AQUA AMERICA INC,0.11,0.15
/Users/vazea/Desktop/NNW/transcripts_by_company/LIQUIDIA_CORP_2020Q2.txt,53635D20,LQDA,LIQUIDIA CORP,-0.49,-0.44
/Users/vazea/Desktop/NNW/transcripts_by_company/ASPEN_TECHNOLOGY_INC_2017Q3.txt,04532710,AZPN,ASPEN TECHNOLOGY INC,0.52,0.42
/Users/vazea/Desktop/NNW/transcripts_by_company/GREEN_DOT_CORP_2015Q2.txt,39304D10,GDOT,GREEN DOT CORP,0.28,0.23
/Users/vazea/Desktop/NNW/transcripts_by_company/MCKESSON_CORP_2015Q4.txt,58155Q10,MCK,MCKESSON CORP,11.11,10.92
/Users/vazea/Desktop/NNW/transcripts_by_company/LOJACK_CORP_2004Q3.txt,53945110,LOJN,LOJACK CORP,0.21,0.17
/Users/vazea/Desktop/NNW/transcripts_by_company/NEWMONT_CORPORATION_2006Q3.txt,65163910,NEM,NEWMONT CORPORATION,0.38,0.41
/Users/vazea/Desktop/NNW/transcripts_by_company/RAYTHEON_CO_2015Q3.txt,75511150,RTN,RAYTHEON CO,1.47,1.44
/Users/vazea/Desktop/NNW/transcripts_by_company/SHYFT_GROUP_INC_2021Q3.txt,82569810,SHYF,SHYFT GROUP INC,0.63,0.55
/Users/vazea/Desktop/NNW/transcripts_by_company/VAPOTHERM_INC_2018Q4.txt,92210710,VAPO,VAPOTHERM INC,-14.62,-4.66
/Users/vazea/Desktop/NNW/transcripts_by_company/COHERUS_BIOSCIENCES_INC_2019Q4.txt,19249H10,CHRS,COHERUS BIOSCIENCES INC,1.23,1.42
/Users/vazea/Desktop/NNW/transcripts_by_company/EATON_VANCE_CORP_2005Q4.txt,27826510,EV,EATON VANCE CORP,1.13,1.14
/Users/vazea/Desktop/NNW/transcripts_by_company/GREAT_LAKES_DREDGE_DOCK_CORP_2020Q2.txt,39060710,GLDD,GREAT LAKES DREDGE & DOCK CORP,0.14,0.1
/Users/vazea/Desktop/NNW/transcripts_by_company/TREVENA_INC_2014Q2.txt,89532E10,TRVN,TREVENA INC,-0.44,-0.39
/Users/vazea/Desktop/NNW/transcripts_by_company/INFORTE_CORPORATION_2003Q1.txt,45677R10,INFT,INFORTE CORPORATION,0.04,0.0
/Users/vazea/Desktop/NNW/transcripts_by_company/PENTAIR_INC_2006Q2.txt,70963110,PNR,PENTAIR INC,0.67,0.62
/Users/vazea/Desktop/NNW/transcripts_by_company/EMERSON_ELECTRIC_CO_2018Q1.txt,29101110,EMR,EMERSON ELECTRIC CO,0.58,0.54
/Users/vazea/Desktop/NNW/transcripts_by_company/EEX_CORPORATION_2002Q1.txt,26842V20,EEX,EEX CORPORATION,0.06,-0.17
/Users/vazea/Desktop/NNW/transcripts_by_company/BBT_CORP_2008Q2.txt,05493710,BBT,BB&T CORP,0.69,0.71
/Users/vazea/Desktop/NNW/transcripts_by_company/FINISAR_CORPORATION_2006Q4.txt,31787A10,FNSR,FINISAR CORPORATION,0.03,0.03
/Users/vazea/Desktop/NNW/transcripts_by_company/VIMICRO_INTERNATIONAL_CORP_2012Q3.txt,92718N10,VIMC,VIMICRO INTERNATIONAL CORP,0.11,0.02
/Users/vazea/Desktop/NNW/transcripts_by_company/INVENTURE_FOODS_INC_2013Q4.txt,46121210,SNAK,INVENTURE FOODS INC,0.33,0.34
/Users/vazea/Desktop/NNW/transcripts_by_company/US_AUTO_PARTS_NETWORK_INC_2007Q4.txt,90343C10,PRTS,US AUTO PARTS NETWORK INC,-0.13,0.08
/Users/vazea/Desktop/NNW/transcripts_by_company/SALESFORCE_INC_2024Q2.txt,79466L30,CRM,SALESFORCE INC,2.12,1.9
/Users/vazea/Desktop/NNW/transcripts_by_company/BECTON_DICKINSON_AND_CO_2008Q2.txt,07588710,BDX,BECTON DICKINSON AND CO,1.09,1.04
/Users/vazea/Desktop/NNW/transcripts_by_company/FOCUS_FINANCIAL_PARTNERS_INC_2019Q1.txt,34417P10,FOCS,FOCUS FINANCIAL PARTNERS INC,0.47,0.5
/Users/vazea/Desktop/NNW/transcripts_by_company/REGAL_ENTERTAINMENT_GROUP_2007Q4.txt,75876610,RGC,REGAL ENTERTAINMENT GROUP,0.86,0.82
/Users/vazea/Desktop/NNW/transcripts_by_company/LANDS_END_INC_2016Q4.txt,51509F10,LE,LANDS END INC,1.26,1.34
/Users/vazea/Desktop/NNW/transcripts_by_company/LIQUIDITY_SERVICES_INC_2010Q1.txt,53635B10,LQDT,LIQUIDITY SERVICES INC,0.14,0.1
/Users/vazea/Desktop/NNW/transcripts_by_company/PACIFIC_PREMIER_BANCORP_INC_2023Q2.txt,69478X10,PPBI,PACIFIC PREMIER BANCORP INC,0.6,0.59
/Users/vazea/Desktop/NNW/transcripts_by_company/AGCO_CORP_2021Q2.txt,00108410,AGCO,AGCO CORP,2.88,2.19
/Users/vazea/Desktop/NNW/transcripts_by_company/SOUTHERN_CO_2015Q3.txt,84258710,SO,SOUTHERN CO,1.17,1.16
/Users/vazea/Desktop/NNW/transcripts_by_company/NVE_CORP_2008Q1.txt,62944520,NVEC,NVE CORP,0.33,0.3
/Users/vazea/Desktop/NNW/transcripts_by_company/VASCULAR_BIOGENICS_LTD_2015Q2.txt,M9688310,VBLT,VASCULAR BIOGENICS LTD,-0.15,-0.17
/Users/vazea/Desktop/NNW/transcripts_by_company/ABRAXAS_PETROLEUM_CORPORATION_2013Q4.txt,00383010,AXAS,ABRAXAS PETROLEUM CORPORATION,0.12,0.2
/Users/vazea/Desktop/NNW/transcripts_by_company/MEDIFAST_INC_2011Q2.txt,58470H10,MED,MEDIFAST INC,0.43,0.48
/Users/vazea/Desktop/NNW/transcripts_by_company/HA_SUSTAINABLE_INFRASTRUCTURE_CA_2019Q4.txt,41068X10,HASI,HA SUSTAINABLE INFRASTRUCTURE CA,1.4,1.38
/Users/vazea/Desktop/NNW/transcripts_by_company/INTEGRATED_SILICON_SOLUTION_INC_2003Q4.txt,45812P10,ISSI,INTEGRATED SILICON SOLUTION INC,-0.86,-0.91
/Users/vazea/Desktop/NNW/transcripts_by_company/PIER_1_IMPORTS_2004Q2.txt,72027910,PIR,PIER 1 IMPORTS,0.2,0.21
/Users/vazea/Desktop/NNW/transcripts_by_company/ACTUANT_CORPORATION_2016Q2.txt,00508X20,ATU,ACTUANT CORPORATION,0.21,0.2
/Users/vazea/Desktop/NNW/transcripts_by_company/PLANAR_SYSTEMS_INCORPORATED_2004Q2.txt,72690010,PLNR,PLANAR SYSTEMS INCORPORATED,0.05,0.07
/Users/vazea/Desktop/NNW/transcripts_by_company/NEW_MEDIA_INVESTMENT_GROUP_INC_2017Q1.txt,64704V10,NEWM,NEW MEDIA INVESTMENT GROUP INC,-0.07,-0.07
/Users/vazea/Desktop/NNW/transcripts_by_company/EQUITY_RESIDENTIAL_2002Q4.txt,29476L10,EQR,EQUITY RESIDENTIAL,1.18,1.08
/Users/vazea/Desktop/NNW/transcripts_by_company/NEW_JERSEY_RESOURCES_CORP_2006Q2.txt,64602510,NJR,NEW JERSEY RESOURCES CORP,2.14,1.75
/Users/vazea/Desktop/NNW/transcripts_by_company/PHARMERICA_CORP_2014Q4.txt,71714F10,PMC,PHARMERICA CORP,1.67,1.64
/Users/vazea/Desktop/NNW/transcripts_by_company/INTREXON_CORP_2014Q4.txt,46122T10,XON,INTREXON CORP,-0.83,-1.18
/Users/vazea/Desktop/NNW/transcripts_by_company/DISCOVER_FINANCIAL_SERVICES_2010Q2.txt,25470910,DFS,DISCOVER FINANCIAL SERVICES,0.33,0.07
/Users/vazea/Desktop/NNW/transcripts_by_company/ALPHATEC_HOLDINGS_INC_2009Q2.txt,02081G10,ATEC,ALPHATEC HOLDINGS INC,-0.13,-0.04
/Users/vazea/Desktop/NNW/transcripts_by_company/CASTLIGHT_HEALTH_INC_2014Q4.txt,14862Q10,CSLT,CASTLIGHT HEALTH INC,-0.93,-1.0
/Users/vazea/Desktop/NNW/transcripts_by_company/VANDA_PHARMACEUTICALS_INC_2016Q3.txt,92165910,VNDA,VANDA PHARMACEUTICALS INC,-0.01,-0.1
/Users/vazea/Desktop/NNW/transcripts_by_company/VICAL_INCORPORATED_2005Q4.txt,92560210,VICL,VICAL INCORPORATED,-0.99,-1.0
